M1,M2,M3,M4,M5,M6,M7,M8,M1M1,M1M2,M1M3,M1M4,M1M5,M1M6,M1M7,M1M8,M2M1,M2M2,M2M3,M2M4,M2M5,M2M6,M2M7,M2M8,M3M1,M3M2,M3M3,M3M4,M3M5,M3M6,M3M7,M3M8,M4M1,M4M2,M4M3,M4M4,M4M5,M4M6,M4M7,M4M8,M5M1,M5M2,M5M3,M5M4,M5M5,M5M6,M5M7,M5M8,M6M1,M6M2,M6M3,M6M4,M6M5,M6M6,M6M7,M6M8,M7M1,M7M2,M7M3,M7M4,M7M5,M7M6,M7M7,M7M8,M8M1,M8M2,M8M3,M8M4,M8M5,M8M6,M8M7,M8M8
,,,,,,,,13090.746209030662,-12990.093861661177,-6991.258273552327,-474914.5620610155,1398.4805228607036,-1519.5999981701002,-10123.61200954106,-163538.8651534855,-12990.093861661177,12890.215411735673,6937.503770557384,471263.0310704891,-1387.7278625364715,1507.9160724078718,10045.77341299755,162281.4448047139,-6991.258273552327,6937.503770557384,3733.75905903634,253633.39172743855,-746.8740413825234,811.5592411659387,5406.627329701971,87339.74563366969,-474914.5620610155,471263.0310704891,253633.39172743855,17229257.802127015,-50734.98137234381,55129.03207465908,367270.9475239945,5932968.776886409,1398.4805228607036,-1387.7278625364715,-746.8740413825234,-50734.98137234381,149.39925819290366,-162.33841570574657,-1081.5024590863427,-17470.808309622527,-1519.5999981701002,1507.9160724078718,811.5592411659387,55129.03207465908,-162.33841570574657,176.39820660838842,1175.1691267653516,18983.91850393826,-10123.61200954106,10045.77341299755,5406.627329701971,367270.9475239945,-1081.5024590863427,1175.1691267653516,7829.005198269208,126471.32507636746,-163538.8651534855,162281.4448047139,87339.74563366969,5932968.776886409,-17470.808309622527,18983.91850393826,126471.32507636746,2043043.229822902
,,,,,,,,3596.2593029785426,-3513.4944335728273,-9018.956690780486,-6187.9958395318945,3203.8362159434537,-3961.642725010484,-756102.8859792033,-19855.795535289682,-3513.4944335728273,3432.634327709072,8811.393022590593,6045.584343476038,-3130.1026323305473,3870.468864856399,738701.8168840123,19398.83117705674,-9018.956690780486,8811.393022590593,22618.38564388398,15518.699230960592,-8034.809962678725,9935.291410055568,1896208.9793615914,49795.78637320487,-6187.9958395318945,6045.584343476038,15518.699230960592,10647.533807795757,-5512.762986356323,6816.702199358327,1301007.8302257743,34165.384031458874,3203.8362159434537,-3130.1026323305473,-8034.809962678725,-5512.762986356323,2854.2342567148617,-3529.3490729395357,-673597.0921432717,-17689.135146523382,-3961.642725010484,3870.468864856399,9935.291410055568,6816.702199358327,-3529.3490729395357,4364.149455972123,832923.6701919808,21873.163558179986,-756102.8859792033,738701.8168840123,1896208.9793615914,1301007.8302257743,-673597.0921432717,832923.6701919808,158968396.3313174,4174622.306909632,-19855.795535289682,19398.83117705674,49795.78637320487,34165.384031458874,-17689.135146523382,21873.163558179986,4174622.306909632,109628.52873614992
,,,,,,,,1659.2409984508322,-1629.9333133100117,-1664.9378695969529,-3539.6897641086184,2785.4521711097123,-3771.552159981348,-1884850.4823586086,-61507.48557301656,-1629.9333133100117,1601.1432988445877,1635.5295588652784,3477.1671328576194,-2736.2518709231103,3704.934071771065,1851557.7873697155,60421.05989846983,-1664.9378695969529,1635.5295588652784,1670.65430049412,3551.8430055619074,-2795.0157981640764,3784.5014824103064,1891321.9656077123,61718.666601064026,-3539.6897641086184,3477.1671328576194,3551.8430055619074,7551.286183160574,-5942.257060726398,8045.922556127898,4020986.683374592,131215.06598627887,2785.4521711097123,-2736.2518709231103,-2795.0157981640764,-5942.257060726398,4676.080090103754,-6331.496245742554,-3164194.275096169,-103255.74126291403,-3771.552159981348,3704.934071771065,3784.5014824103064,8045.922556127898,-6331.496245742554,8572.959388504094,4284375.756516812,139810.12419806496,-1884850.4823586086,1851557.7873697155,1891321.9656077123,4020986.683374592,-3164194.275096169,4284375.756516812,2141136425.7298722,69870750.51737928,-61507.48557301656,60421.05989846983,61718.666601064026,131215.06598627887,-103255.74126291403,139810.12419806496,69870750.51737928,2280061.055052905
,,,,,,,,5411.9050229035165,-6147.227290909409,-580323.4035569524,-55553.70575796033,1149.7098892031267,-623.2537653148613,-297467.1503262358,-94446.1406146345,-6147.227290909409,6982.4587102283895,659172.6663349338,63101.85686948135,-1305.9224021167554,707.936029751324,337884.38209756964,107278.65523328482,-580323.4035569524,659172.6663349338,62228596.268905625,5957073.427789858,-123284.41707343319,66832.05725830687,31897667.89940695,10127543.913344162,-55553.70575796033,63101.85686948135,5957073.427789858,570263.9293152754,-11801.878381365372,6397.757563059869,3053527.8191221263,969498.3713637674,1149.7098892031267,-1305.9224021167554,-123284.41707343319,-11801.878381365372,244.24538563359627,-132.40458109169512,-63194.184486937105,-20064.22163769932,-623.2537653148613,707.936029751324,66832.05725830687,6397.757563059869,-132.40458109169512,71.77606671499738,34257.349438634745,10876.745343536533,-297467.1503262358,337884.38209756964,31897667.89940695,3053527.8191221263,-63194.184486937105,34257.349438634745,16350380.346427025,5191263.370116086,-94446.1406146345,107278.65523328482,10127543.913344162,969498.3713637674,-20064.22163769932,10876.745343536533,5191263.370116086,1648231.7112456723
,,,,,,,,14140.684920653703,-14076.54555118113,-2731.5168386689993,-564821.2869670637,5852.924517551178,-6091.987513677029,-37947.15540458005,-1033.6425287702984,-14076.54555118113,14012.697105291074,2719.12721477744,562259.3685441561,-5826.376801494087,6064.355454823124,37775.034560746484,1028.954129274279,-2731.5168386689993,2719.12721477744,527.6395225407061,109104.95954377769,-1130.5931759923972,1176.7723110968543,7330.146633548496,199.66585694704477,-564821.2869670637,562259.3685441561,109104.95954377769,22560653.037758384,-233783.32641411485,243332.2181329867,1515722.984609379,41286.776888098626,5852.924517551178,-5826.376801494087,-1130.5931759923972,-233783.32641411485,2422.564790911701,-2521.514571570526,-15706.582636205418,-427.8315889909244,-6091.987513677029,6064.355454823124,1176.7723110968543,243332.2181329867,-2521.514571570526,2624.5059609942277,16348.118793497355,445.30639174888773,-37947.15540458005,37775.034560746484,7330.146633548496,1515722.984609379,-15706.582636205418,16348.118793497355,101832.87523761475,2773.8255885144463,-1033.6425287702984,1028.954129274279,199.66585694704477,41286.776888098626,-427.8315889909244,445.30639174888773,2773.8255885144463,75.55623247938586
,,,,,,,,4943.553795757021,-5069.8205366147085,-17903.916416511474,-29457.453352679848,2494.6579275378804,-2952.618072505424,-235518.73958742298,-20788.036999640102,-5069.8205366147085,5199.312343994479,18361.212780200614,30209.846627332307,-2558.3757182364166,3028.0329413256536,241534.2872859507,21318.998690200933,-17903.916416511474,18361.212780200614,64842.06226794833,106685.15089738247,-9034.825728155425,10693.405870366014,852970.960225919,75287.39289220382,-29457.453352679848,30209.846627332307,106685.15089738247,175529.91104700405,-14865.069253299573,17593.944100246008,1403399.7750834755,123870.93485991046,2494.6579275378804,-2558.3757182364166,-9034.825728155425,-14865.069253299573,1258.8753824766657,-1489.9751041223026,-118849.45831878477,-10490.235049856805,-2952.618072505424,3028.0329413256536,10693.405870366014,17593.944100246008,-1489.9751041223026,1763.4992643486826,140667.40560533042,12415.993892840732,-235518.73958742298,241534.2872859507,852970.960225919,1403399.7750834755,-118849.45831878477,140667.40560533042,11220486.10949812,990375.0368518477,-20788.036999640102,21318.998690200933,75287.39289220382,123870.93485991046,-10490.235049856805,12415.993892840732,990375.0368518477,87415.3493928411
,,,,,,,,13504.886794301518,-13677.380122148606,-20215.703547032215,-509959.7336341557,11862.66019042754,-11429.601221467814,-127420.21499230177,-318416.9652233101,-13677.380122148606,13852.076648630751,20473.911855825238,516473.27594386897,-12014.177916161416,11575.587632215666,129047.71008010124,322483.99686977424,-20215.703547032215,20473.911855825238,30261.243661363682,763367.7314808476,-17757.425540957087,17109.1719222324,190737.5701416762,476643.9786830536,-509959.7336341557,516473.27594386897,763367.7314808476,19256653.823855285,-447947.407708412,431594.6133590532,4811530.810054586,12023783.186275413,11862.66019042754,-12014.177916161416,-17757.425540957087,-447947.407708412,10420.13227781615,-10039.734317475319,-111925.61143738743,-279696.69904268713,-11429.601221467814,11575.587632215666,17109.1719222324,431594.6133590532,-10039.734317475319,9673.223187394746,107839.64849895862,269486.07493608026,-127420.21499230177,129047.71008010124,190737.5701416762,4811530.810054586,-111925.61143738743,107839.64849895862,1202224.9009547613,3004301.982232862,-318416.9652233101,322483.99686977424,476643.9786830536,12023783.186275413,-279696.69904268713,269486.07493608026,3004301.982232862,7507605.601314974
,,,,,,,,51.62460635676052,-30.428161143057242,-4937.276183790679,-13296.092543625937,555.0665090694858,-483.06067313438,-56976.62876390861,-6779.831099954416,-30.428161143057242,17.934722526491683,2910.089701991263,7836.876153487037,-327.16284684791145,284.7217449452135,33582.70723529352,3996.1136324501617,-4937.276183790679,2910.089701991263,472191.4186922297,1271612.234666936,-53085.47316970911,46198.9761299156,5449133.118511226,648409.7600396465,-13296.092543625937,7836.876153487037,1271612.234666936,3424453.7518979865,-142959.26290368295,124413.91552305469,14674524.07546621,1746168.5056188738,555.0665090694858,-327.16284684791145,-53085.47316970911,-142959.26290368295,5968.061574385998,-5193.856581733395,-612611.3235222612,-72896.57871143478,-483.06067313438,284.7217449452135,46198.9761299156,124413.91552305469,-5193.856581733395,4520.085098885838,533140.503840705,63440.09196406194,-56976.62876390861,33582.70723529352,5449133.118511226,14674524.07546621,-612611.3235222612,533140.503840705,62883505.645852394,7482709.252920392,-6779.831099954416,3996.1136324501617,648409.7600396465,1746168.5056188738,-72896.57871143478,63440.09196406194,7482709.252920392,890391.4816561034
,,,,,,,,4523.276583378335,-4202.534298669524,-120774.59703903942,-23084.234474116227,2584.2290414194294,-3729.414698093186,-1539625.019921363,-48011.36687678745,-4202.534298669524,3904.5356183598483,112210.55734899789,21447.348033612077,-2400.9832213425457,3464.964587903455,1430451.3186493525,44606.91543098345,-120774.59703903942,112210.55734899789,3224764.8405015315,616364.9436806719,-69000.69349747949,99577.93848132712,41109047.37851461,1281936.530068802,-23084.234474116227,21447.348033612077,616364.9436806719,117808.82098038285,-13188.437193109196,19032.81432277556,7857371.599314358,245022.7462276494,2584.2290414194294,-2400.9832213425457,-69000.69349747949,-13188.437193109196,1476.4164020073595,-2130.681507676174,-879615.3885432136,-27429.7550269566,-3729.414698093186,3464.964587903455,99577.93848132712,19032.81432277556,-2130.681507676174,3074.8802851152454,1269411.6915040042,39585.087050348746,-1539625.019921363,1430451.3186493525,41109047.37851461,7857371.599314358,-879615.3885432136,1269411.6915040042,524054887.7065184,16342025.591748562,-48011.36687678745,44606.91543098345,1281936.530068802,245022.7462276494,-27429.7550269566,39585.087050348746,16342025.591748562,509606.5444788391
,,,,,,,,2182.618609707184,-1691.6725871909596,-407350.5407873471,-10821.384699574624,414.50322178271665,-621.3668230240191,-72321.75682174682,-80855.48950627488,-1691.6725871909596,1311.1572170812208,315723.3884850899,8387.28295007711,-321.2671854228479,481.60004520473217,56054.10534333041,62668.307927614434,-407350.5407873471,315723.3884850899,76025404.68671511,2019636.8205762845,-77360.33716579538,115968.0900091415,13497688.795012115,15090372.284705045,-10821.384699574624,8387.28295007711,2019636.8205762845,53652.23511582632,-2055.099687217293,3080.7257858016246,358569.9990078444,400880.0956467625,414.50322178271665,-321.2671854228479,-77360.33716579538,-2055.099687217293,78.71870976638566,-118.00437735977181,-13734.695138342086,-15355.344607670999,-621.3668230240191,481.60004520473217,115968.0900091415,3080.7257858016246,-118.00437735977181,176.89610408240802,20589.18588523963,23018.6430259138,-72321.75682174682,56054.10534333041,13497688.795012115,358569.9990078444,-13734.695138342086,20589.18588523963,2396404.248787005,2679172.175921573,-80855.48950627488,62668.307927614434,15090372.284705045,400880.0956467625,-15355.344607670999,23018.6430259138,2679172.175921573,2995305.801125008
